id,organization_id,name,alternate_name,transportation,latitude,longitude,description
1,1,"Shreveport, LA",,,,,See listed services
2,2,"Miami, FL",,,26,-80,See listed services
18,18,"Hialeah Gardens, FL",,,,,See listed services
22,22,"Miami, FL",,,26,-80,See listed services
23,22,"Miami, FL",,,26,-80,See listed services
24,24,"Miami, FL",,,,,See listed services
26,26,"Miami Beach, FL",,,26,-80,See listed services
30,30,"Miami, FL",,,,,See listed services
31,30,"Miami, FL",,,26,-80,See listed services
32,30,"Miami, FL",,,26,-80,See listed services
33,30,"Miami, FL",,,26,-80,See listed services
35,30,"Miami, FL",,,26,-80,See listed services
36,30,"Miami, FL",,,26,-80,See listed services
39,39,"Washington, DC",,,,,See listed services
40,39,"Miami, FL",,,26,-80,See listed services
43,43,"Virginia Beach, VA",,,37,-76,See listed services
45,45,"Tallahassee, FL",,,30,-84,See listed services
46,45,"Tallahassee, FL",,,30,-84,See listed services
47,45,"Miami, FL",,,26,-80,See listed services
48,45,"Tallahassee, FL",,,30,-84,See listed services
49,45,"Tallahassee, FL",,,30,-84,See listed services
51,45,"Tallahassee, FL",,,30,-84,See listed services
52,52,"Atlanta, GA",,,32,-84,See listed services
53,52,"Miami, FL",,,26,-80,See listed services
54,54,"Tallahassee, FL",,,,,See listed services
56,56,"New York, NY",,,,,See listed services
58,58,"Miami, FL",,,26,-80,See listed services
59,58,"Miami, FL",,,26,-80,See listed services
60,60,"Miami, FL",,,26,-80,See listed services
63,60,"Miami, FL",,,26,-80,See listed services
64,60,"Miami, FL",,,26,-80,See listed services
65,60,"Miami, FL",,,26,-80,See listed services
66,60,"Miami, FL",,,26,-80,See listed services
67,60,"Miami, FL",,,26,-80,See listed services
68,60,"Miami, FL",,,26,-80,See listed services
69,60,"Miami, FL",,,26,-80,See listed services
70,60,"Miami, FL",,,26,-80,See listed services
71,60,"Miami, FL",,,26,-80,See listed services
73,60,"Miami, FL",,,26,-80,See listed services
74,60,"Miami, FL",,,26,-80,See listed services
75,60,"Miami, FL",,,26,-80,See listed services
76,76,"Hialeah, FL",,,26,-80,See listed services
77,76,"Hialeah, FL",,,26,-80,See listed services
78,76,"Hialeah, FL",,,26,-80,See listed services
79,76,"Hialeah, FL",,,,,See listed services
82,82,"Miami, FL",,,26,-80,See listed services
83,82,"Miami, FL",,,26,-80,See listed services
86,82,"Miami, FL",,,26,-80,See listed services
90,82,"Miami, FL",,,26,-80,See listed services
93,82,"Miami, FL",,,26,-80,See listed services
95,82,"Miami, FL",,,26,-80,See listed services
96,82,"Miami, FL",,,26,-80,See listed services
97,82,"Miami, FL",,,26,-80,See listed services
98,82,"Miami, FL",,,26,-80,See listed services
99,82,"Miami, FL",,,26,-80,See listed services
100,82,"Miami, FL",,,26,-80,See listed services
101,101,"Miami, FL",,,26,-80,See listed services
103,101,"Miami, FL",,,26,-80,See listed services
104,101,"Miami, FL",,,26,-80,See listed services
105,101,"Miami, FL",,,26,-80,See listed services
106,101,"Miami, FL",,,26,-80,See listed services
108,101,"Hialeah, FL",,,26,-80,See listed services
109,109,"Miami, FL",,,,,See listed services
111,109,"Miami, FL",,,26,-80,See listed services
112,109,"Miami, FL",,,26,-80,See listed services
114,109,"Miami, FL",,,26,-80,See listed services
117,109,"Miami, FL",,,,,See listed services
118,109,"Miami, FL",,,26,-80,See listed services
119,109,"Miami, FL",,,26,-80,See listed services
120,109,"Miami, FL",,,,,See listed services
122,109,"Miami, FL",,,,,See listed services
123,109,"Miami, FL",,,,,See listed services
