id,name,alternate_name,description,email,website,legal_status,tax_status,tax_id,date_incorporated,accreditations,funding_sources,licenses
1,"BOWMAN SYSTEMS, LLC",,"Bowman Systems develops and markets the world's most trusted, secure and comprehensive Web-based social services software, including its flagship solutions, ServicePoint and CommunityPoint. ServicePoint is the most widely used Consumer Information Management System (CIMS) and CommunityPoint is the social services portal of choice. When the challenges are how to connect, collaborate and cooperate, the answer is Bowman Systems.",,http://www.bowmansystems.com,,,,,,,
2,"SWITCHBOARD OF MIAMI, INC.",,"Switchboard of Miami, Inc. established in 1968, is a private, nonprofit organization that provides the Miami-Dade County community with comprehensive telephone crisis counseling, suicide prevention, information and referral services 24 hours a day, 7 days a week, 365 days a year. Our agency also offers free individual and family counseling services and prevention programs for high-risk youth and their families based in local schools.",,http://www.switchboardmiami.org,,,,,,,
18,"XCLUSIVE SENIOR DAY CARE CENTER, INC.",,"Xclusive Senior Day Care Center provides day care services for the elderly community. The program activities provide a mix of therapeutic programs, daily physical exercise, life enrichment programs (art, music and horticulture) and leisure activities (hobbies, crafts and outings). A hot noon meal (USDA Approved) along with morning and afternoon snacks is also provided. Transportation provided.",,http://www.xclusiveseniorcenter.com,,,,,,,
22,TOWN OF CUTLER BAY PARKS AND RECREATION,,"The Parks and Recreation Department is part of the Town of Cutler Bay, a municipal corporation of the State of Florida.",,http://www.cutlerbay-fl.gov,,,,,,,
24,"JUNIOR ACHIEVEMENT OF GREATER MIAMI, INC.",(JA),"Junior Achievement empowers young people to own their economic success. Their volunteer-based K-12 programs foster work-readiness, entrepreneurship, and financial literacy skills, and use experiential learning to inspire kids to dream big and reach their potential.\n\n###MON###",,http://www.jamiami.org,,,,,,,
26,"SHERRY A. PALAMARA, PSYD, PA",,"Provides positive psychology, neuropsychology, neuropsychoeducation evaluations, employee assistance programs, cognitive behavioral and gesalt psychotherapy. Services provided to individuals, families, couples, children, adolescents and elderly with autism, aspergers, developmental delays, learning disabilities, medical conditions, mood disorders, anxiety and depression. Outpatient services provided to those who have addictions, are part of NA or AA, and referrals to detox centers can also be made. Assists with the LGBTQI community.",,,,,,,,,
30,MIAMI-DADE OFFICE OF THE STATE ATTORNEY,,"Responsible for initiating charges and prosecuting individuals who have been accused of felony and misdemeanor offenses. Enforces child support orders and investigates allegations of major fraud, organized criminal activity, corruption and unlawful conduct by public officials.",,http://www.miamisao.com,,,,,,,
39,U.S. CITIZENSHIP AND IMMIGRATION SERVICES,USCIS,U.S. Citizenship and Immigration Services (USCIS) is the government agency that oversees lawful immigration to the United States.\n\n###MON###\n###COL###,,http://www.uscis.gov,,,,,,,
43,AL-ANON FAMILY GROUPS,ALATEEN; Alanon,Provides support for family and friends of people with a drinking problem. Alateen is for adolescents dealing with someone else's drinking.,,http://al-anon.alateen.org/,,,,,,,
45,FLORIDA DEPARTMENT OF AGRICULTURE AND CONSUMER SERVICES,,"Under state law, most organizations which solicit contributions in Florida must register with the Florida Department of Agriculture and Consumer Services. Oversees the Division of Consumer Services and the Division of Agricultural Environmental Services and Division of Food Safety.\n\n###COL###\n###MON###",,http://www.freshfromflorida.com,,,,,,,
52,"HABITAT FOR HUMANITY, INC.",,"A national Christian organization whose mission is to provide adequate, affordable homes to low income families.\n\n###COL###",,http://www.habitat.org,,,,,,,
54,FLORIDA DEPARTMENT OF BUSINESS AND PROFESSIONAL REGULATION,,"Handles complaints regarding restaurants, hotels and food vendors including sanitation, food handling practices and fires. Licenses and regulates hundreds of professions including accountants, acupuncturists, a/c technicians, architects, asbestos removers, barbers, contractors, chiropractors, clinical social workers, cosmetologists, dentists, hygienists, engineers, funeral directors and embalmers, geologists, harbor pilots, hearing aid specialists, land surveyors, marriage & family therapists, opticians, optometrists, osteopaths, pharmacists, physical therapists, physicians, podiatrists, property appraisers, psychologists, real estate agents, respiratory therapists, talent agents, veterinarians, etc. Handles complaints on sewage overflow in duplexes and apartment buildings. \n\n###COL###\n###MON###",,http://www.myfloridalicense.com,,,,,,,
56,"CHILDREN'S TUMOR FOUNDATION, INC.",,"The Children's Tumor Foundation is dedicated to improving the health and well-being of individuals and families affected by neurofibromatosis (NF), the term for three distinct disorders: NF1, NF2 and schwannomatosis.\n\n###MON###\n###COL###",,http://www.ctf.org,,,,,,,
58,CARLOS ALBIZU UNIVERSITY (MIAMI CAMPUS),Caribbean Center for Advanced Studies - Miami Institute of Psychology,"Private (non-profit) specialized university level institution offering a four-year Bachelor of Science Degree in Psychology; Bachelor of Arts in Elementary Education; Bachelor in business administration; Master of Science Degree in Psychology with concentration in Mental Health Counseling, School Counseling, Marriage and Family Therapy; Specialized in new role and child care psychology; Master of Science Degree in Industrial/Organizational Psychology; Master of Science in Exceptional Student Education; Doctor of Psychology Degree in Clinical Psychology with concentration in general practice, neuropsychology and forensic psychology.",,http://www.mia.albizu.edu,,,,,,,
60,CITY OF MIAMI - NEIGHBORHOOD ENHANCEMENT TEAMS,NET,This program of the City of Miami Community Development Department provides information & referral and access to City of Miami services and operations. Operates the NET offices located at 11 sites around the city.,,http://www.miamigov.com/nets/,,,,,,,
76,"HIALEAH HOUSING AUTHORITY, INC.",,"The Hialeah Housing Authority is dedicated to providing this community with quality, affordable housing that is decent and safe to eligible families. Assistance for  low income families is made possible through the Affordable Housing Program, Housing Choice Voucher (Section 8) Program, Palm Centre, and Public Housing Program.",,http://www.hialeahhousing.org,,,,,,,
