id,location_id,contact_id,organization_id,service_id,number,vanity_number,extension,department,number_type,country_prefix
1,1,1,1,,318-213-8780,,310.0,,voice,
2,2,2,2,,305-358-1640,,1104.0,,voice,
18,18,18,18,,305-820-0805,,,,voice,
22,22,22,22,,305-238-4166,,,,voice,
23,23,23,22,,305-238-5472,,,,voice,
24,24,24,24,,305-687-3977,,226.0,,voice,
26,26,26,26,,305-450-1470,,,,voice,
30,30,30,30,,305-547-0100,,,,voice,
31,31,31,30,,305-547-0512,,,,voice,
32,32,32,30,,305-349-5830,,,,voice,
33,33,33,30,,305-547-0115,,,,voice,
35,35,35,30,,305-547-0160,,,,voice,
36,36,36,30,,305-530-2600,,,,voice,
39,39,39,39,,800-375-5283,,,,voice,
40,40,40,39,,800-375-5283,,,,voice,
43,43,43,43,,757-563-1600,,,,voice,
45,45,45,45,,850-245-5520,,,,voice,
46,46,46,45,,850-617-7996,,,,voice,
47,47,47,45,,305-639-3560,,,,voice,
48,48,48,45,,800-435-7352,,,,voice,
49,49,49,45,,800-435-7352,,,,voice,
51,51,51,45,,800-435-7352,,,,voice,
52,52,52,52,,800-422-4828,,,,voice,
53,53,53,52,,305-634-3628,,,,voice,
54,54,54,54,,850-487-1395,,,,voice,
56,56,56,56,,212-344-6633,,,,voice,
58,58,58,58,,305-593-1223,,,,voice,
59,59,59,58,,305-592-7860,,243.0,,voice,
60,60,60,60,,305-960-5110,,,,voice,
63,63,63,60,,305-960-4650,,,,voice,
64,64,64,60,,305-960-5110,,,,voice,
65,65,65,60,,305-960-2904,,,,voice,
66,66,66,60,,305-960-4660,,,,voice,
67,67,67,60,,305-960-5118,,,,voice,
69,69,69,60,,305-960-5127,,,,voice,
70,70,70,60,,305-960-5133,,,,voice,
71,71,71,60,,305-960-5135,,,,voice,
73,73,73,60,,305-960-2890,,,,voice,
74,74,74,60,,305-960-5131,,,,voice,
75,75,75,60,,305-960-4670,,,,voice,
76,76,76,76,,305-888-9744,,1047.0,,voice,
77,77,77,76,,305-888-9744,,1032.0,,voice,
78,78,78,76,,305-888-9744,,,,voice,
79,79,79,76,,305-556-8223,,,,voice,
82,82,82,82,,305-576-1234,,206.0,,voice,
83,83,83,82,,305-576-1234,,287.0,,voice,
86,86,86,82,,305-576-1234,,,,voice,
90,90,90,82,,305-576-1234,,102.0,,voice,
93,93,93,82,,305-576-1234,,270.0,,voice,
95,95,95,82,,305-576-1234,,270.0,,voice,
96,96,96,82,,305-576-3663,,,,voice,
97,97,97,82,,305-576-3663,,,,voice,
98,98,98,82,,305-576-1234,,102.0,,voice,
99,99,99,82,,305-576-1234,,102.0,,voice,
100,100,100,82,,305-576-1234,,368.0,,voice,
101,101,101,101,,305-805-1700,,,,voice,
103,103,103,101,,305-835-1614,,,,voice,
104,104,104,101,,305-637-6498,,,,voice,
105,105,105,101,,305-694-6900,,,,voice,
106,106,106,101,,305-694-6270,,,,voice,
108,108,108,101,,305-887-0004,,,,voice,
109,109,109,109,,305-685-8245,,,,voice,
111,111,111,109,,305-274-8367,,4048.0,,voice,
112,112,112,109,,305-722-5635,,,,voice,
114,114,114,109,,305-235-8105,,5002.0,,voice,
117,117,117,109,,305-235-8105,,,,voice,
118,118,118,109,,305-235-8105,,,,voice,
123,123,123,109,,305-687-2227,,,,voice,
125,125,125,109,,305-235-8105,,2005.0,,voice,
127,127,127,109,,305-558-2480,,3002.0,,voice,
132,132,132,109,,305-235-8105,,,,voice,
134,134,134,109,,305-558-2480,,2004.0,,voice,
135,135,135,135,,410-580-5777,,,,voice,
136,136,136,135,,305-685-8694,,,,voice,
137,137,137,137,,305-253-4841,,234.0,,voice,
138,138,138,137,,305-253-4841,,256.0,,voice,
144,144,144,144,,866-966-7226,,,,voice,
145,145,145,144,,800-226-6667,,,,voice,
146,146,146,146,,786-315-2552,,,,voice,
148,148,148,148,,305-860-3000,,,,voice,
150,150,150,150,,305-637-6700,,,,voice,
151,151,151,150,,305-573-4200,,,,voice,
