id,organization_id,name,alternate_name
1,1,"BOWMAN SYSTEMS, LLC",
2,2,"SWITCHBOARD OF MIAMI, INC.",
18,18,"XCLUSIVE SENIOR DAY CARE CENTER, INC.",
22,22,TOWN OF CUTLER BAY PARKS AND RECREATION,
23,22,TOWN OF CUTLER BAY - CUTLER RIDGE PARK - SUMMER CAMP PROGRAM,
24,24,"JUNIOR ACHIEVEMENT OF GREATER MIAMI, INC.",(JA)
26,26,"SHERRY A. PALAMARA, PSYD, PA",
30,30,MIAMI-DADE OFFICE OF THE STATE ATTORNEY,
31,30,MIAMI-DADE OFFICE OF THE STATE ATTORNEY - VICTIM/WITNESS SERVICES UNIT,
32,30,MIAMI-DADE OFFICE OF THE STATE ATTORNEY - DOMESTIC VIOLENCE AND STALKING ASSISTANCE,
33,30,MIAMI-DADE OFFICE OF THE STATE ATTORNEY - SEXUAL BATTERY UNIT,
35,30,MIAMI-DADE OFFICE OF THE STATE ATTORNEY - CHILDREN AND SPECIAL NEEDS UNIT,
36,30,MIAMI-DADE OFFICE OF THE STATE ATTORNEY - CHILD SUPPORT ENFORCEMENT,
39,39,U.S. CITIZENSHIP AND IMMIGRATION SERVICES,USCIS
40,39,USCIS - MIAMI FIELD OFFICE,U.S. CITIZENSHIP AND IMMIGRATION SERVICES
43,43,AL-ANON FAMILY GROUPS,ALATEEN; Alanon
45,45,FLORIDA DEPARTMENT OF AGRICULTURE AND CONSUMER SERVICES,
46,45,FLORIDA DEPARTMENT OF AGRICULTURE - BUREAU OF INSPECTION AND INCIDENT RESPONSE,
47,45,FL DEPT OF AGRICULTURE - DIVISION OF FOOD SAFETY - MIAMI REGIONAL OFFICE,
48,45,FL DEPT OF AGRICULTURE - TENANT/LANDLORD COMPLAINTS,
49,45,FL DEPT OF AGRICULTURE - DIVISION OF CONSUMER SERVICES,
51,45,FL DEPT OF AGRICULTURE - CONSUMER EDUCATION & OUTREACH,
52,52,"HABITAT FOR HUMANITY, INC.",
53,52,HABITAT FOR HUMANITY - GREATER MIAMI,
