id,location_id,program_id,accepted_payments,alternate_name,application_process,description,eligibility,email,fees,funding_sources,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
6861,1,1,,,,None Provided,,,,,,,,Environment and Public Health/Safety,,,active,,http://www.bowmansystems.com,
6862,1,1,,,,None Provided,,,,,,,,Income Support and Employment,,,active,,http://www.bowmansystems.com,
6863,1,1,,,,None Provided,,,,,,,,Individual and Family Life,,,active,,http://www.bowmansystems.com,
14827,1,1,,,,None Provided,,,,,,,,Information and Referral Database Management Assistance,,,active,,http://www.bowmansystems.com,
12490,2,2,,,Call for information,None Provided,,,,,,,,Volunteer Opportunities,,,active,,http://www.switchboardmiami.org,
19958,18,18,,,Call for information.,None Provided,,,,,,,,Adult Day Programs,,,active,,http://www.xclusiveseniorcenter.com,
11350,23,23,,,Visit the website to complete an application or can call/visit office\nMust bring birth certificate prior to enrollment for proof of age,None Provided,,,,,,,,Summer Camps,,,active,,https://www.cutlerbay-fl.gov/parks.php,
19319,24,24,,,Call to enroll,None Provided,,,,,,,,Personal Enrichment,,,active,,http://www.jamiami.org,
19320,24,24,,,Call to enroll,None Provided,,,,,,,,Youth Development,,,active,,http://www.jamiami.org,
19321,24,24,,,Call to enroll,None Provided,,,,,,,,Youth Business Programs,,,active,,http://www.jamiami.org,
19318,24,24,,,Call to enroll,None Provided,,,,,,,,Youth Employment Programs,,,active,,http://www.jamiami.org,
19317,24,24,,,Call to enroll,None Provided,,,,,,,,Financial Management Workshops,,,active,,http://www.jamiami.org,
15594,26,26,,,Call for an appointment; initial intake consultation,None Provided,,,,,,,,Neuropsychiatry/Neuropsychology,,,active,,,
15595,26,26,,,Call for an appointment; initial intake consultation,None Provided,,,,,,,,Cognitive Behavioral Therapy,,,active,,,
15596,26,26,,,Call for an appointment; initial intake consultation,None Provided,,,,,,,,Gestalt Therapy,,,active,,,
15597,26,26,,,Call for an appointment; initial intake consultation,None Provided,,,,,,,,Psychotherapy/Psychoanalysis,,,active,,,
50,31,31,,,Call for intake procedures,None Provided,,,,,,,,Crime Victim Support,,,active,,http://www.miamisao.com,
17359,32,32,,,Services available in-person or through the phone for anyone in need of help.,None Provided,,,,,,,,Domestic/Family Violence Legal Services,,,active,,http://www.miamisao.com/services/domestic/index.htm,
51,32,32,,,Services available in-person or through the phone for anyone in need of help.,None Provided,,,,,,,,Information and Referral,,,active,,http://www.miamisao.com/services/domestic/index.htm,
58,33,33,,,Call for intake procedures.,None Provided,,,,,,,,State Attorneys General,,,active,,http://www.miamisao.com,
57,33,33,,,Call for intake procedures.,None Provided,,,,,,,,Child Abuse Reporting/Emergency Response,,,active,,http://www.miamisao.com,
13559,35,35,,,Call or visit office to discuss the case,None Provided,,,,,,,,Children's Protective Services,,,active,,http://www.miamisao.com,
13561,35,35,,,Call or visit office to discuss the case,None Provided,,,,,,,,Child Abuse Reporting/Emergency Response,,,active,,http://www.miamisao.com,
13560,35,35,,,Call or visit office to discuss the case,None Provided,,,,,,,,State Attorneys General,,,active,,http://www.miamisao.com,
7060,36,36,,,Call for intake procedures,None Provided,,,,,,,,Child Support Assistance/Enforcement,,,active,,http://www.miamisao.com,
20999,43,43,,,Call or visit websit for meeting times and locations,None Provided,,,,,,,,Specialized Information and Referral,,,active,,http://al-anon.alateen.org/,
14600,46,46,,,None,None Provided,,,,,,,,Pest Control Services,,,active,,http://www.freshfromflorida.com/Divisions-Offices/Agricultural-Environmental-Services/Bureaus-and-Sections2/Bureau-of-Entomology-and-Pest-Control,
7341,47,47,,,Must call in to place a complaint,None Provided,,,,,,,,Bottled Water Complaints,,,active,,http://www.freshfromflorida.com/,
7340,47,47,,,Must call in to place a complaint,None Provided,,,,,,,,Food Complaints,,,active,,http://www.freshfromflorida.com/,
83,48,48,,,Visit website and fill out complaint form online,None Provided,,,,,,,,Housing Complaints,,,active,,http://www.freshfromflorida.com/Divisions-Offices/Consumer-Services/Consumer-Services/Consumer-Protection/Landlord-Tenant-Law-in-Florida,
10321,48,48,,,Visit website and fill out complaint form online,None Provided,,,,,,,,Landlord/Tenant Dispute Resolution,,,active,,http://www.freshfromflorida.com/Divisions-Offices/Consumer-Services/Consumer-Services/Consumer-Protection/Landlord-Tenant-Law-in-Florida,
10327,49,49,,,Must fill out complaint form located on website,None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.freshfromflorida.com/Divisions-Offices/Consumer-Services,
18899,49,49,,,Must fill out complaint form located on website,None Provided,,,,,,,,Charity Information,,,active,,http://www.freshfromflorida.com/Divisions-Offices/Consumer-Services,
7338,51,51,,,Call to schedule a presentation,None Provided,,,,,,,,Outreach Programs,,,active,,http://www.freshfromflorida.com/,
7337,51,51,,,Call to schedule a presentation,None Provided,,,,,,,,Consumer Education,,,active,,http://www.freshfromflorida.com/,
14351,53,53,,,Must fill out application,None Provided,,,,,,,,Sweat Equity Programs,,,active,,http://www.miamihabitat.org/,
92,53,53,,,Must fill out application,None Provided,,,,,,,,Volunteer Opportunities,,,active,,http://www.miamihabitat.org/,
12054,53,53,,,Must fill out application,None Provided,,,,,,,,Neighborhood Revitalization,,,active,,http://www.miamihabitat.org/,
19624,54,54,,,Call for information,None Provided,,,,,,,,Records/Licenses/Permits,,,active,,http://www.myfloridalicense.com,
19622,54,54,,,Call for information,None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.myfloridalicense.com,
19804,56,56,,,Call for assistance or e-mail: info@ctf.org for more information,None Provided,,,,,,,,Specialized Information and Referral,,,active,,http://www.ctf.org,
100,59,59,,,Must call to make an appointment,None Provided,,,,,,,,Intelligence Testing,,,active,,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,
104,59,59,,,Must call to make an appointment,None Provided,,,,,,,,Clinical Psychiatric Evaluation,,,active,,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,
99,59,59,,,Must call to make an appointment,None Provided,,,,,,,,Psychiatric Day Treatment,,,active,,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,
103,59,59,,,Must call to make an appointment,None Provided,,,,,,,,DUI Offender Programs,,,active,,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,
20366,59,59,,,Must call to make an appointment,None Provided,,,,,,,,Psychotherapy/Psychoanalysis,,,active,,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,
114,63,63,,,"Walk-ins welcomed, call for information",None Provided,,,,,,,,Landlord/Tenant Assistance,,,active,,http://www.ci.miami.fl.us,
112,63,63,,,"Walk-ins welcomed, call for information",None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
111,63,63,,,"Walk-ins welcomed, call for information",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
115,64,64,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
116,64,64,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
121,65,65,,,"Walk-ins welcomed, call for information",None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
120,65,65,,,"Walk-ins welcomed, call for information",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
122,65,65,,,"Walk-ins welcomed, call for information",None Provided,,,,,,,,Landlord/Tenant Assistance,,,active,,http://www.ci.miami.fl.us,
126,66,66,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Landlord/Tenant Assistance,,,active,,http://www.ci.miami.fl.us,
124,66,66,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
125,66,66,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
129,67,67,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
130,67,67,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Landlord/Tenant Assistance,,,active,,http://www.ci.miami.fl.us,
128,67,67,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
132,68,68,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
133,68,68,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
136,69,69,,,Call for information,None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
135,69,69,,,Call for information,None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
138,69,69,,,Call for information,None Provided,,,,,,,,Landlord/Tenant Assistance,,,active,,http://www.ci.miami.fl.us,
141,70,70,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Landlord/Tenant Assistance,,,active,,http://www.ci.miami.fl.us,
140,70,70,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
139,70,70,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
144,71,71,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.miamigov.com/nets/offices/Downtown/index.html,
17565,71,71,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,General Consumer Complaints,,,active,,http://www.miamigov.com/nets/offices/Downtown/index.html,
146,71,71,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Landlord/Tenant Assistance,,,active,,http://www.miamigov.com/nets/offices/Downtown/index.html,
154,73,73,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Landlord/Tenant Assistance,,,active,,http://www.ci.miami.fl.us,
153,73,73,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
151,73,73,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
157,74,74,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
158,74,74,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Landlord/Tenant Assistance,,,active,,http://www.ci.miami.fl.us,
156,74,74,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
162,75,75,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Landlord/Tenant Dispute Resolution,,,active,,http://www.ci.miami.fl.us,
160,75,75,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Consumer Complaints,,,active,,http://www.ci.miami.fl.us,
159,75,75,,,"Walk-ins welcomed, call for information.",None Provided,,,,,,,,Neighborhood Watch Programs,,,active,,http://www.ci.miami.fl.us,
14001,77,77,,,Applicat must fill out application in order to be considered for housing unit.,None Provided,,,,,,,,Elderly/Disabled Home Rental Listings,,,active,,http://www.hialeahhousing.org,
164,78,78,,,Call and provide proper documentation providing needing assistance,None Provided,,,,,,,,Congregate Meals/Nutrition Sites,,,active,,http://www.hialeahhousing.org,
165,78,78,,,Call and provide proper documentation providing needing assistance,None Provided,,,,,,,,Home Delivered Meals,,,active,,http://www.hialeahhousing.org,
21712,79,79,,,Call to enroll,None Provided,,,,,,,,School Readiness Programs,,,active,,http://www.hialeahhousing.org,
170,83,83,,,Call for more information,None Provided,,,,,,,,Case/Care Management,,,active,,http://www.careresource.org,
175,86,86,,,Call for more information,None Provided,,,,,,,,Case/Care Management,,,active,,http://www.careresource.org,
187,90,90,,,"Complete patient registration and if seeking fee reduction, provide proof of income.",None Provided,,,,,,,,Parenting Education,,,active,,http://www.careresource.org,
183,90,90,,,"Complete patient registration and if seeking fee reduction, provide proof of income.",None Provided,,,,,,,,Substance Abuse Counseling,,,active,,http://www.careresource.org,
184,90,90,,,"Complete patient registration and if seeking fee reduction, provide proof of income.",None Provided,,,,,,,,Drug/Alcohol Testing,,,active,,http://www.careresource.org,
185,90,90,,,"Complete patient registration and if seeking fee reduction, provide proof of income.",None Provided,,,,,,,,Psychiatric Disorder Counseling,,,active,,http://www.careresource.org,
