id,organization_id,program_id,location_id,name,alternate_name,url,email,status,application_process,wait_time,description,taxonomy_ids
6861,1,1,1,Environment and Public Health/Safety,,www.bowmansystems.com,,active,,,None provided,
6862,1,1,1,Income Support and Employment,,www.bowmansystems.com,,active,,,None provided,
6863,1,1,1,Individual and Family Life,,www.bowmansystems.com,,active,,,None provided,
14827,1,1,1,Information and Referral Database Management Assistance,,www.bowmansystems.com,,active,,,None provided,
12490,2,2,2,Volunteer Opportunities,,www.switchboardmiami.org,,active,Call for information,,None provided,
19958,18,18,18,Adult Day Programs,,www.xclusiveseniorcenter.com,,active,Call for information.,,None provided,
11350,22,23,23,Summer Camps,,https://www.cutlerbay-fl.gov/parks.php,,active,Visit the website to complete an application or can call/visit office\nMust bring birth certificate prior to enrollment for proof of age,,None provided,
19317,24,24,24,Financial Management Workshops,,www.jamiami.org,,active,Call to enroll,,None provided,
19318,24,24,24,Youth Employment Programs,,www.jamiami.org,,active,Call to enroll,,None provided,
19319,24,24,24,Personal Enrichment,,www.jamiami.org,,active,Call to enroll,,None provided,
19320,24,24,24,Youth Development,,www.jamiami.org,,active,Call to enroll,,None provided,
19321,24,24,24,Youth Business Programs,,www.jamiami.org,,active,Call to enroll,,None provided,
15594,26,26,26,Neuropsychiatry/Neuropsychology,,,,active,Call for an appointment; initial intake consultation,,None provided,
15595,26,26,26,Cognitive Behavioral Therapy,,,,active,Call for an appointment; initial intake consultation,,None provided,
15596,26,26,26,Gestalt Therapy,,,,active,Call for an appointment; initial intake consultation,,None provided,
15597,26,26,26,Psychotherapy/Psychoanalysis,,,,active,Call for an appointment; initial intake consultation,,None provided,
50,30,31,31,Crime Victim Support,,www.miamisao.com,,active,Call for intake procedures,,None provided,
51,30,32,32,Information and Referral,,http://www.miamisao.com/services/domestic/index.htm,,active,Services available in-person or through the phone for anyone in need of help.,,None provided,
17359,30,32,32,Domestic/Family Violence Legal Services,,http://www.miamisao.com/services/domestic/index.htm,,active,Services available in-person or through the phone for anyone in need of help.,,None provided,
57,30,33,33,Child Abuse Reporting/Emergency Response,,www.miamisao.com,,active,Call for intake procedures.,,None provided,
58,30,33,33,State Attorneys General,,www.miamisao.com,,active,Call for intake procedures.,,None provided,
13559,30,35,35,Children's Protective Services,,www.miamisao.com,,active,Call or visit office to discuss the case,,None provided,
13560,30,35,35,State Attorneys General,,www.miamisao.com,,active,Call or visit office to discuss the case,,None provided,
13561,30,35,35,Child Abuse Reporting/Emergency Response,,www.miamisao.com,,active,Call or visit office to discuss the case,,None provided,
7060,30,36,36,Child Support Assistance/Enforcement,,www.miamisao.com,,active,Call for intake procedures,,None provided,
20999,43,43,43,Specialized Information and Referral,,http://al-anon.alateen.org/,,active,Call or visit websit for meeting times and locations,,None provided,
14600,45,46,46,Pest Control Services,,http://www.freshfromflorida.com/Divisions-Offices/Agricultural-Environmental-Services/Bureaus-and-Sections2/Bureau-of-Entomology-and-Pest-Control,,active,None,,None provided,
7340,45,47,47,Food Complaints,,http://www.freshfromflorida.com/,,active,Must call in to place a complaint,,None provided,
7341,45,47,47,Bottled Water Complaints,,http://www.freshfromflorida.com/,,active,Must call in to place a complaint,,None provided,
83,45,48,48,Housing Complaints,,http://www.freshfromflorida.com/Divisions-Offices/Consumer-Services/Consumer-Services/Consumer-Protection/Landlord-Tenant-Law-in-Florida,,active,Visit website and fill out complaint form online,,None provided,
10321,45,48,48,Landlord/Tenant Dispute Resolution,,http://www.freshfromflorida.com/Divisions-Offices/Consumer-Services/Consumer-Services/Consumer-Protection/Landlord-Tenant-Law-in-Florida,,active,Visit website and fill out complaint form online,,None provided,
10327,45,49,49,Consumer Complaints,,http://www.freshfromflorida.com/Divisions-Offices/Consumer-Services,,active,Must fill out complaint form located on website,,None provided,
18899,45,49,49,Charity Information,,http://www.freshfromflorida.com/Divisions-Offices/Consumer-Services,,active,Must fill out complaint form located on website,,None provided,
7337,45,51,51,Consumer Education,,http://www.freshfromflorida.com/,,active,Call to schedule a presentation,,None provided,
7338,45,51,51,Outreach Programs,,http://www.freshfromflorida.com/,,active,Call to schedule a presentation,,None provided,
92,52,53,53,Volunteer Opportunities,,http://www.miamihabitat.org/,,active,Must fill out application,,None provided,
12054,52,53,53,Neighborhood Revitalization,,http://www.miamihabitat.org/,,active,Must fill out application,,None provided,
14351,52,53,53,Sweat Equity Programs,,http://www.miamihabitat.org/,,active,Must fill out application,,None provided,
19622,54,54,54,Consumer Complaints,,www.myfloridalicense.com,,active,Call for information,,None provided,
19624,54,54,54,Records/Licenses/Permits,,www.myfloridalicense.com,,active,Call for information,,None provided,
19804,56,56,56,Specialized Information and Referral,,www.ctf.org,,active,Call for assistance or e-mail: info@ctf.org for more information,,None provided,
99,58,59,59,Psychiatric Day Treatment,,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,,active,Must call to make an appointment,,None provided,
100,58,59,59,Intelligence Testing,,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,,active,Must call to make an appointment,,None provided,
103,58,59,59,DUI Offender Programs,,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,,active,Must call to make an appointment,,None provided,
104,58,59,59,Clinical Psychiatric Evaluation,,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,,active,Must call to make an appointment,,None provided,
20366,58,59,59,Psychotherapy/Psychoanalysis,,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,,active,Must call to make an appointment,,None provided,
111,60,63,63,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information",,None provided,
112,60,63,63,Consumer Complaints,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information",,None provided,
114,60,63,63,Landlord/Tenant Assistance,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information",,None provided,
115,60,64,64,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
116,60,64,64,Consumer Complaints,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
120,60,65,65,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information",,None provided,
121,60,65,65,Consumer Complaints,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information",,None provided,
122,60,65,65,Landlord/Tenant Assistance,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information",,None provided,
124,60,66,66,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
125,60,66,66,Consumer Complaints,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
126,60,66,66,Landlord/Tenant Assistance,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
128,60,67,67,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
129,60,67,67,Consumer Complaints,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
130,60,67,67,Landlord/Tenant Assistance,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
132,60,68,68,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
133,60,68,68,Consumer Complaints,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
135,60,69,69,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,Call for information,,None provided,
136,60,69,69,Consumer Complaints,,www.ci.miami.fl.us,,active,Call for information,,None provided,
138,60,69,69,Landlord/Tenant Assistance,,www.ci.miami.fl.us,,active,Call for information,,None provided,
139,60,70,70,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
140,60,70,70,Consumer Complaints,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
141,60,70,70,Landlord/Tenant Assistance,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
144,60,71,71,Neighborhood Watch Programs,,http://www.miamigov.com/nets/offices/Downtown/index.html,,active,"Walk-ins welcomed, call for information.",,None provided,
146,60,71,71,Landlord/Tenant Assistance,,http://www.miamigov.com/nets/offices/Downtown/index.html,,active,"Walk-ins welcomed, call for information.",,None provided,
