id,service_id,location_id,url,email
1,1,1,www.bowmansystems.com,
2,2,2,www.switchboardmiami.org,
18,18,18,www.xclusiveseniorcenter.com,
23,23,23,https://www.cutlerbay-fl.gov/parks.php,
24,24,24,www.jamiami.org,
26,26,26,,
31,31,31,www.miamisao.com,
32,32,32,http://www.miamisao.com/services/domestic/index.htm,
33,33,33,www.miamisao.com,
35,35,35,www.miamisao.com,
36,36,36,www.miamisao.com,
43,43,43,http://al-anon.alateen.org/,
46,46,46,http://www.freshfromflorida.com/Divisions-Offices/Agricultural-Environmental-Services/Bureaus-and-Sections2/Bureau-of-Entomology-and-Pest-Control,
47,47,47,http://www.freshfromflorida.com/,
48,48,48,http://www.freshfromflorida.com/Divisions-Offices/Consumer-Services/Consumer-Services/Consumer-Protection/Landlord-Tenant-Law-in-Florida,
49,49,49,http://www.freshfromflorida.com/Divisions-Offices/Consumer-Services,
51,51,51,http://www.freshfromflorida.com/,
53,53,53,http://www.miamihabitat.org/,
54,54,54,www.myfloridalicense.com,
56,56,56,www.ctf.org,
59,59,59,http://www.albizu.edu/Our-Clinics/Goodman-Psychological-Services-Center,
63,63,63,www.ci.miami.fl.us,
64,64,64,www.ci.miami.fl.us,
65,65,65,www.ci.miami.fl.us,
66,66,66,www.ci.miami.fl.us,
67,67,67,www.ci.miami.fl.us,
68,68,68,www.ci.miami.fl.us,
69,69,69,www.ci.miami.fl.us,
70,70,70,www.ci.miami.fl.us,
71,71,71,http://www.miamigov.com/nets/offices/Downtown/index.html,
73,73,73,www.ci.miami.fl.us,
74,74,74,www.ci.miami.fl.us,
75,75,75,www.ci.miami.fl.us,
77,77,77,www.hialeahhousing.org,
78,78,78,www.hialeahhousing.org,
79,79,79,www.hialeahhousing.org,
83,83,83,www.careresource.org,
86,86,86,www.careresource.org,
90,90,90,www.careresource.org,
93,93,93,www.careresource.org/hivaids/prevention/,
95,95,95,www.careresource.org,
96,96,96,www.careresource.org,
97,97,97,www.careresource.org,
98,98,98,www.careresource.org,
99,99,99,www.careresource.org,
100,100,100,www.careresource.org,
103,103,103,www.jtchc.org,
104,104,104,www.jtchc.org/,
105,105,105,www.jtchc.org,
106,106,106,www.jtchc.org,
108,108,108,www.jtchc.org,
112,112,112,icfhinc.org,
114,114,114,http://www.icfhinc.org/,
117,117,117,http://icfhinc.org/our_programs.asp?id_programa_padre=43&id_programa=141,
118,118,118,http://www.icfhinc.org/,
119,119,119,http://www.icfhinc.org/,
120,120,120,http://www.icfhinc.org/,
122,122,122,ICFHinc.org,
123,123,123,http://www.icfhinc.org/default.asp,
124,124,124,icfhinc.org,
125,125,125,icfhinc.org,
127,127,127,icfhinc.org,
128,128,128,www.icfhinc.org,
132,132,132,icfhinc.org,
134,134,134,icfhinc.org,
136,136,136,http://miami-dadenaacp.org/,
137,137,137,www.girlscoutsfl.org,
138,138,138,girlscoutsfl.org,
141,141,141,http://www.girlscoutsfl.org/programs/decisions.html,
144,144,144,www.myfloridalegal.com,
145,145,145,www.myfloridalegal.com,
146,146,146,http://www.miamidade.gov/building/neighborhood-compliance.asp,
148,148,148,unitedwaymiami.org,
151,151,151,www.salvationarmymiami.com,
152,152,152,www.salvationarmymiami.com,
153,153,153,www.salvationarmymiami.com,
157,157,157,www.salvationarmymiami.com,
159,159,159,www.salvationarmymiami.com,
160,160,160,www.salvationarmymiami.com,
161,161,161,www.salvationarmymiami.com,
162,162,162,www.salvationarmymiami.com,
163,163,163,www.salvationarmymiami.com,
164,164,164,www.salvationarmymiami.com,
166,166,166,http://www.miamidade.gov/information/311.asp,
183,183,183,www.unitedhomecare.com,
184,184,184,www.unitedhomecare.com,
185,185,185,www.unitedhomecare.com,
186,186,186,www.unitedhomecare.com,
188,188,188,www.unitedhomecare.com,
190,190,190,www.unitedhomecare.com,
200,200,200,http://www.miami-police.org/community_involvement.html,
202,202,202,www.miami-police.org,
204,204,204,www.miami-police.org,
208,208,208,www.jhsmiami.org,
209,209,209,www.jhsmiami.org,
211,211,211,www.jhsmiami.org,
212,212,212,www.jhsmiami.org,
213,213,213,www.jhsmiami.org,
214,214,214,www.jhsmiami.org,
215,215,215,www.jhsmiami.org/mentalhealth,
218,218,218,www.vitas.com,
222,222,222,www.fla-lap.org,
226,226,226,www.guardianshipprogram.org,
228,228,228,www.camillus.org,
232,232,232,www.camillus.org,
237,237,237,https://www.sba.gov/category/navigation-structure/loans-grants/small-business-loans/disaster-loans,
239,239,239,https://miamirescuemission.com/women.htm,
240,240,240,https://miamirescuemission.com/cac.htm,
242,242,242,www.miamirescuemission.org,
243,243,243,http://www.miamirescuemission.com/men.htm,
293,293,293,www.lungfla.org,
295,295,295,www.lupusflorida.org/,
299,299,299,http://www.coralgables.com/index.aspx?page=228,
309,309,309,http://capp.fiu.edu/,
311,311,311,http://advocacy.fiu.edu/,
312,312,312,http://bridge.fiu.edu/,
313,313,313,www.improvinglivestoday.com,
319,319,319,www.miamidade.gov/mdeat,
321,321,321,http://www.miamidade.gov/economicadvocacytrust/homeownership.asp,
323,323,323,www.ssa.gov,
324,324,324,www.ssa.gov,
325,325,325,www.socialsecurity.gov,
326,326,326,www.ssa.gov,
327,327,327,www.ssa.gov,
328,328,328,www.ssa.gov,
329,329,329,www.ssa.gov,
330,330,330,www.ssa.gov,
331,331,331,www.ssa.gov,
