taxonomy_id,name,parent_id,parent_name
1,Service,,
2,Modality/Delivery Format,,
3,Organization/Facility Type,,
4,Named Programs,,
5,Environment and Public Health/Safety,1,
6,Income Support and Employment,1,
7,Individual and Family Life,1,
8,Information and Referral Database Management Assistance,1,
9,Volunteer Opportunities,1,
10,Adult Day Programs,1,
11,Summer Camps,1,
12,Personal Enrichment,1,
13,Youth Development,1,
14,Youth Business Programs,1,
15,Youth Employment Programs,1,
16,Financial Management Workshops,1,
17,Neuropsychiatry/Neuropsychology,1,
18,Cognitive Behavioral Therapy,1,
19,Gestalt Therapy,1,
20,Psychotherapy/Psychoanalysis,1,
21,Family Counseling,2,
22,Group Counseling,2,
23,Individual Counseling,2,
24,Private Therapy Practices,3,
25,Crime Victim Support,1,
26,Domestic/Family Violence Legal Services,1,
27,Information and Referral,1,
28,State Attorneys General,1,
29,Child Abuse Reporting/Emergency Response,1,
30,Children's Protective Services,1,
31,Child Support Assistance/Enforcement,1,
32,Citizenship and Immigration Services Offices,4,
33,Alcohol Dependency Support Groups,3,
34,Specialized Information and Referral,1,
35,Pest Control Services,1,
36,Bottled Water Complaints,1,
37,Food Complaints,1,
38,Housing Complaints,1,
39,Landlord/Tenant Dispute Resolution,1,
40,Better Business Bureaus,3,
41,Consumer Complaints,1,
42,Charity Information,1,
43,Outreach Programs,1,
44,Consumer Education,1,
45,Sweat Equity Programs,1,
46,Neighborhood Revitalization,1,
47,Records/Licenses/Permits,1,
48,Individual Advocacy,2,
49,Intelligence Testing,1,
50,Clinical Psychiatric Evaluation,1,
51,Psychiatric Day Treatment,1,
52,DUI Offender Programs,1,
53,Conjoint Counseling,2,
54,Community Action/Social Advocacy Groups,3,
55,Landlord/Tenant Assistance,1,
56,Neighborhood Watch Programs,1,
57,Community Action Agencies,3,
58,Administrative Entities,3,
59,General Consumer Complaints,1,
60,Neighborhood Improvement Groups,3,
61,Low Income/Subsidized Private Rental Housing,3,
62,Elderly/Disabled Home Rental Listings,1,
63,Congregate Meals/Nutrition Sites,1,
64,Home Delivered Meals,1,
65,Senior Centers,3,
66,Preschools,3,
67,School Readiness Programs,1,
68,Case/Care Management,1,
69,Parenting Education,1,
70,Substance Abuse Counseling,1,
71,Drug/Alcohol Testing,1,
72,Psychiatric Disorder Counseling,1,
73,Anger Management,1,
74,Clinical Cholesterol/Triglycerides Tests,1,
75,Diabetes Screening,1,
76,HIV Testing,1,
77,Sexually Transmitted Disease Screening,1,
78,Nutrition Education,1,
79,SSI Applications,4,
80,Ongoing Emergency Food Assistance,1,
81,Transitional Case/Care Management,1,
82,Long Term Case/Care Management,1,
83,Support Groups,3,
84,Psychosocial Therapy,1,
85,Bereavement Counseling,1,
86,Comprehensive Outpatient Substance Abuse Treatment,1,
87,AIDS/HIV Clinics,1,
88,Childhood Immunizations,1,
89,Dental Care,1,
90,Obstetrics/Gynecology,1,
91,Optometry,1,
92,Family and Community Medicine,1,
93,Podiatry/Foot Care,1,
94,Pediatrics,1,
95,AIDS/HIV Prevention Counseling,1,
96,Dental Screening,1,
97,Vision Screening,1,
98,Comprehensive Outpatient Alcoholism Treatment,1,
99,Comprehensive Outpatient Drug Abuse Treatment,1,
100,Perinatal Alcoholism Treatment,1,
101,Perinatal Drug Abuse Treatment,1,
102,Residential Alcoholism Treatment Facilities,3,
103,Residential Drug Abuse Treatment Facilities,3,
104,WIC,4,
105,Blood Tests,1,
106,Orthopedic/Orthotic Devices,1,
107,Health Education,1,
108,Pharmacies,3,
109,Family Planning,1,
110,Birth Control,1,
111,Mother and Infant Care,1,
112,Prenatal Care,1,
113,Gynecology Services,1,
114,Internal Medicine,1,
115,Dermatology,1,
116,Medicaid,4,
117,Community Clinics,3,
118,Medical Appointments Transportation,1,
119,General Psychiatry,1,
120,Psychological Assessment,1,
121,Diagnostic Imaging/Radiology,1,
122,Internship Programs,2,
123,School Based Integrated Services,1,
124,Parenting Skills Classes,1,
125,Play Therapy,1,
126,Behavior Modification,1,
127,Gang Programs,1,
128,Mentoring Programs,1,
129,Life Skills Education,1,
130,Conflict Resolution Training,1,
131,Parent Support Groups,3,
132,Family Support Centers/Outreach,3,
133,Adolescent/Youth Counseling,1,
134,Juvenile Delinquency Prevention,1,
135,Wraparound Facilitation/Community Support,1,
136,Parent/Family Involvement in Education,1,
137,Family Literacy Programs,1,
138,Psychiatric Case Management,1,
139,Child Sexual Abuse Counseling,1,
140,Suicide Prevention Programs,1,
141,Suicide Counseling,1,
142,Parenting Materials,1,
143,Human Rights Groups,3,
144,Constitutional/Civil Rights Groups,3,
145,Discrimination Assistance,1,
146,Scouting Programs,1,
147,Recreational Activities/Sports,1,
148,Tutoring Services,1,
149,Dropout Prevention,1,
150,Teen Pregnancy Prevention,1,
151,Crime Victim Compensation,1,
152,General Crime Victim Assistance,1,
153,Charities/Grantmaking Organizations,3,
154,General Clothing Donation Programs,1,
155,Thrift Shops,3,
156,Emergency Shelter,1,
157,Domestic Violence Support Groups,3,
158,Homeless Shelter,1,
159,Housing Search Assistance,1,
160,Subject Tutoring,1,
161,Career Development,1,
162,Alcoholism Counseling,1,
163,Drug Abuse Counseling,1,
164,Addictions/Dependencies Support Groups,3,
165,Transitional Housing/Shelter,1,
166,AIDS/HIV Control,1,
167,Inpatient Alcoholism Treatment Facilities,3,
168,Inpatient Drug Abuse Treatment Facilities,3,
169,311 Services,1,
170,Nursing Schools,3,
171,Technical/Trade Schools,3,
172,Child Care Centers,3,
173,Home Health Aide Services,1,
174,Homemaker Assistance,1,
175,Respite Care,1,
176,In Home Adult Day Programs,1,
177,Errand Running/Shopping Assistance,1,
178,Personal Care,1,
179,General Medical Equipment Provision,1,
180,Home Based Mental Health Services,1,
181,Public Parks,3,
182,Municipal Police,3,
183,Harbor Patrol,3,
184,Law Enforcement Education/Information,1,
185,Crime Reporting,1,
186,Advocacy,2,
187,Community Mental Health Agencies,3,
188,Early Intervention for Mental Illness,1,
189,Psychosocial Evaluation,1,
190,Detoxification,1,
191,Mental Health Screening,1,
192,Job Finding Assistance,1,
193,TANF,4,
194,Stress Management,1,
195,Adult Psychiatric Inpatient Units,3,
196,Hospice Care,1,
197,General Bereavement Support Groups,3,
198,Employee Assistance Programs,1,
199,Guardianship Assistance,1,
200,Women's Health Centers,3,
201,Dental Hygiene,1,
202,General Physical Examinations,1,
203,Hearing Screening,1,
204,Pediatric Dentistry,1,
205,Disaster Loans,1,
206,Extended Child Care,1,
207,Homeless Shelter Volunteer Opportunities,1,
208,Inpatient Substance Abuse Treatment Facilities,3,
209,Pulmonary Disease Specialty,1,
210,Disease/Disability Information,1,
211,Public Awareness/Education,1,
212,In Person Crisis Intervention,1,
213,Anxiety Disorders Screening,1,
214,Spouse/Intimate Partner Abuse Counseling,1,
215,Domestic Violence Hotlines,1,
216,Confidential HIV Testing,1,
217,Senior Community Service Employment Programs,4,
218,Community Economic Development and Finance,1,
219,Youth Courts,3,
220,First Time Buyer Home Loans,1,
221,Social Security Numbers,1,
222,Social Security Fraud Reporting,4,
223,SSI,4,
224,Social Security Burial Benefits,4,
225,Social Security Disability Insurance,4,
226,Social Security Survivors Insurance,4,
227,Social Security Retirement Benefits,4,
228,Family Violence Prevention,1,
229,Abuse Counseling,1,
230,Child Abuse Counseling,1,
231,Transportation Expense Assistance,1,
232,Utility Service Payment Assistance,1,
233,Food Vouchers,1,
234,Rent Payment Assistance,1,
235,Immigrant Benefits Assistance,1,
236,Citizenship Education,1,
237,Citizenship Test Preparation,1,
238,English as a Second Language,1,
239,VITA Programs,4,
240,Exercise Classes/Groups,1,
241,Knitting Clubs,3,
242,Sewing Clubs,3,
243,Field Trips/Excursions,1,
244,Arts and Crafts Instruction,1,
245,Computer and Related Technology Classes,1,
246,Multipurpose Centers,3,
247,Sexuality Counseling,1,
248,Relationship Workshops,1,
249,General Sexuality/Reproductive Health Education,1,
250,Pregnancy Testing,1,
251,Abortions,1,
252,Pregnancy Counseling,1,
253,Emergency Contraception,1,
254,Birth Control Counseling,1,
255,Contraception,1,
256,Preconception Care,1,
257,Abortion Referrals,1,
258,Sexuality/Reproductive Health Education,1,
259,Sexually Transmitted Disease Treatment,1,
260,Student Health Programs,1,
261,Foreclosure Prevention Loan Modification/Refinancing Programs,1,
262,911 Tapes,1,
263,911 Services,1,
264,Alcohol Abuse Education/Prevention,1,
265,Drug Abuse Education/Prevention,1,
266,Crime Investigation,1,
267,Missing Persons Location Assistance,1,
268,Elder/Dependent Adult Abuse Reporting,1,
269,Citizen Police Academies,1,
270,Drug Crime Reporting,1,
271,Adult Residential Care Homes,3,
272,Disability Related Center Based Employment,1,
273,Bankruptcy Assistance,1,
274,Family Law,1,
